PDR Number,Date Received,Type,Item Requested,Person Received,Date due,Date Complete,Request Source
P2014-1546,5/8/2014,PDR,14-126917,MAIL,5/14/2014,Attorney,
P2014-1548,5/8/2014,PDR,SEATTLE DEPT OF EMERGENCY MAINTENANCE,EMAIL,5/29/2014,Individual,
P2014-1549,5/8/2014,PDR,ALL DOCUMENTS,EMAIL,7/16/2014,Attorney,
P2014-1550,5/8/2014,PDR,13-465127,EMAIL,5/13/2014,Individual,
P2014-1551,5/8/2014,PDR,13-131379,EMAIL,5/13/2014,Individual,
P2014-1555,5/8/2014,PDR,14-140215,EMAIL,5/29/2014,Individual,
P2014-1556,5/8/2014,PDR,14-139030,EMAIL,5/13/2014,Attorney,
P2014-1557,5/8/2014,PDR,14-136145,COUNTER,5/14/2014,Attorney,
P2014-1558,5/8/2014,PDR,14-131539,COUNTER,5/14/2014,Attorney,
P2014-1559,5/8/2014,PDR,IIS RECORDS / FILES,MAIL,9/16/2014,Attorney,
P2014-1560,5/8/2014,PDR,01-68767,EMAIL,5/13/2014,Individual,
P2014-1561,5/8/2014,PDR,14-124932,EMAIL,5/13/2014,Individual,
P2014-1590,5/8/2014,PDR,94-156500,EMAIL,5/14/2014,Attorney,
P2014-1562,5/9/2014,PDR,"05-286768, 08-290311",COUNTER,5/13/2014,Individual,
P2014-1563,5/9/2014,PDR,14-127496,COUNTER,5/14/2014,Individual,
P2014-1564,5/9/2014,PDR,"13-398531, 13-399246",COUNTER,5/14/2014,Individual,
P2014-1565,5/9/2014,PDR,BOOKING PHOTO,COUNTER,5/14/2014,Individual,
P2014-1566,5/9/2014,PDR,12-34630,COUNTER,5/14/2014,Individual,
P2014-1567,5/9/2014,PDR,13-444856,EMAIL,5/14/2014,Attorney,
P2014-1568,5/9/2014,PDR,INCIDENT REPORTS,EMAIL,5/15/2014,Attorney,
P2014-1569,5/9/2014,PDR,14-112346,COUNTER,5/14/2014,Individual,
P2014-1571,5/9/2014,PDR,CFS,EMAIL,7/2/2014,Individual,
P2014-1574,5/9/2014,PDR,IN CAR VIDEOS,EMAIL,7/22/2014,Media,
P2014-1575,5/9/2014,PDR,INCIDENT REPORTS,EMAIL,5/14/2014,Individual,
P2014-1576,5/9/2014,PDR,DUI REPORTS,EMAIL,5/20/2014,Attorney,
P2014-1578,5/9/2014,PDR,94-156500,EMAIL,5/14/2014,Individual,
P2014-1579,5/9/2014,PDR,14-80235,EMAIL,8/18/2014,Attorney,
P2014-1613,5/9/2014,PDR,13-386521,EMAIL,8/31/2014,Attorney,
P2014-1570,5/12/2014,PDR,14-135978,EMAIL,5/13/2014,Individual,
P2014-1572,5/12/2014,PDR,DUI C-735165,EMAIL,5/13/2014,Attorney,
P2014-1573,5/12/2014,PDR,14-220,COUNTER,5/13/2014,Individual,
P2014-1581,5/12/2014,PDR,14-145444,COUNTER,6/27/2014,Individual,
P2014-1582,5/12/2014,PDR,"93-456671, 94-283645, 96-191726",COUNTER,5/19/2014,Individual,
P2014-1583,5/12/2014,PDR,ALL DOCUMENTS,MAIL,9/23/2014,Attorney,
P2014-1584,5/12/2014,PDR,"ALL DISCIPLINARY, COMPLAINTS",MAIL,6/17/2014,Attorney,
P2014-1589,5/12/2014,PDR,INCIDENT REPORTS,EMAIL,6/27/2014,Individual,
P2014-1591,5/12/2014,PDR,"ALL WRITTEN, EMAIL & VOICEMAIL MESSAGES",EMAIL,9/24/2014,Attorney,
P2014-1592,5/12/2014,PDR,IN CAR VIDEOS,EMAIL,6/16/2014,Attorney,
P2014-1593,5/12/2014,PDR,911 CALLS AND COMPLAINTS,EMAIL,5/18/2014,Individual,
P2014-1594,5/12/2014,PDR,14-146232,EMAIL,5/19/2014,Media,
P2014-1610,5/12/2014,PDR,14-133788,EMAIL,5/18/2014,Attorney,
P23014-1580,5/12/2014,PDR,14-75098,EMAIL,5/13/2014,Attorney,
P2014-1586,5/13/2014,PDR,14-63585,EMAIL,5/18/2014,Individual,
P2014-1587,5/13/2014,PDR,00-463954,COUNTER,5/18/2014,Individual,
P2014-1588,5/13/2014,PDR,14-139342,MAIL,5/20/2014,Attorney,
P2014-1595,5/13/2014,PDR,14-147334,FAX,5/22/2014,Attorney,
P2014-1596,5/13/2014,PDR,14-146292 & 14-146202,COUNTER,8/5/2014,Individual,
P2014-1597,5/13/2014,PDR,ALL RECORDS,MAIL,7/16/2014,Attorney,
P2014-1598,5/13/2014,PDR,ALL RECORDS,EMAIL,7/9/2014,Attorney,
P2014-1599,5/13/2014,PDR,13-124733,EMAIL,5/18/2014,Attorney,
P2014-1600,5/13/2014,PDR,13-131475,EMAIL,5/18/2014,Attorney,
P2014-1601,5/13/2014,PDR,14-129453,COUNTER,5/20/2014,Individual,
P2014-1604,5/13/2014,PDR,14-134333,COUNTER,5/18/2014,Individual,
P2014-1605,5/13/2014,PDR,02-364270,COUNTER,5/18/2014,Individual,
P2014-1606,5/13/2014,PDR,14-146232,EMAIL,5/20/2014,Individual,
P2014-1607,5/13/2014,PDR,07-104680,MAIL,5/18/2014,Attorney,
P2014-1608,5/13/2014,PDR,14-114026,EMAIL,8/27/2014,Attorney,
P2014-1609,5/13/2014,PDR,INCIDENT REPORT,EMAIL,6/8/2014,Individual,
P2014-1611,5/13/2014,PDR,14-146662,EMAIL,5/20/2014,Media,
P2014-1612,5/13/2014,PDR,14-242,EMAIL,5/18/2014,Individual,
P2014-1627,5/13/2014,PDR,14-70384,FAX,5/26/2014,Attorney,
P2014-1602,5/14/2014,PDR,11-162600,COUNTER,5/18/2014,Individual,
P2014-1603,5/14/2014,PDR,14-145649,COUNTER,5/18/2014,Individual,
P2014-1614,5/14/2014,PDR,14-126191 & 14-132855,FAX,6/1/2014,Individual,
P2014-1615,5/14/2014,PDR,14-122018,EMAIL,5/25/2014,Individual,
P2014-1616,5/14/2014,PDR,"USE OF FORCE, ON-VIEW CONTACTS & DISPATCHED CONTACTS",EMAIL,-,Media,
P2014-1617,5/14/2014,PDR,PARKING COMPLAINTS,EMAIL,6/16/2014,Individual,
P2014-1618,5/14/2014,PDR,-,EMAIL,7/2/2014,Attorney,
P2014-1619,5/14/2014,PDR,10-212071,COUNTER,5/19/2014,Individual,
P2014-1620,5/14/2014,PDR,14-114960 & CIT #128595311,EMAIL,5/21/2014,Individual,
P2014-1621,5/14/2014,PDR,14-87867,EMAIL,5/20/2014,Individual,
P2014-1631,5/14/2014,PDR,CAD LOGS,EMAIL,7/2/2014,Individual,
P2014-1622,5/15/2014,PDR,14-144112,MAIL,6/16/2014,Attorney,
P2014-1623,5/15/2014,PDR,14-106395,COUNTER,6/16/2014,Individual,
P2014-1624,5/15/2014,PDR,13-235281,MAIL,5/19/2014,Attorney,
P2014-1625,5/15/2014,PDR,14-146142,FAX,5/19/2014,Individual,
P2014-1626,5/15/2014,PDR,07-370640,FAX,5/21/2014,Attorney,
P2014-1628,5/15/2014,PDR,ABANDONED VEHICLE INFO,EMAIL,7/24/2014,Media,
P2014-1629,5/15/2014,PDR,12-317954,EMAIL,6/17/2014,Attorney,
P2014-1630,5/15/2014,PDR,SPD DIRECTIVE D02-40,EMAIL,7/2/2014,Individual,
P2014-1633,5/15/2014,PDR,ALL PUBLIC RECORDS,EMAIL,7/25/2014,Individual,
P2014-1635,5/15/2014,PDR,ALL POLICE REPORTS,EMAIL,3/17/2015,Attorney,
P2014-1636,5/15/2014,PDR,ALL DOCUMENTS,EMAIL,11/10/2014,Individual,
P2014-1637,5/15/2014,PDR,13-178475,FAX,5/22/2014,Individual,
P2014-1638,5/15/2014,PDR,14-138574,MAIL,7/17/2014,Attorney,
P2014-1639,5/15/2014,PDR,14-144093,EMAIL,5/21/2014,Individual,
P2014-1640,5/15/2014,PDR,911 DATA,EMAIL,5/30/2014,Attorney,
P2014-1642,5/15/2014,PDR,13-38133,COUNTER,5/21/2014,Individual,
P2014-1645,5/15/2014,PDR,14-108277,EMAIL,5/22/2014,Individual,
P2014-1632,5/16/2014,PDR,"REPORT, 911, CAD, PHOTOS",EMAIL,6/18/2014,Individual,
P2014-1634,5/16/2014,PDR,14-149468,EMAIL,5/23/2014,Attorney,
P2014-1641,5/16/2014,PDR,ARREST TOTALS,EMAIL,7/10/2014,Individual,
P2014-1643,5/16/2014,PDR,911 CALL,COUNTER,6/17/2014,Individual,
P2014-1644,5/16/2014,PDR,14-103372,EMAIL,6/18/2014,Individual,
P2014-1646,5/16/2014,PDR,13-188424,EMAIL,8/25/2014,Attorney,
P2014-1647,5/16/2014,PDR,08-361954,EMAIL,5/23/2014,Individual,
P2014-1648,5/16/2014,PDR,94-156500,EMAIL,6/25/2014,Media,
P2014-1649,5/16/2014,PDR,11-27133,COUNTER,5/22/2014,Individual,
P2014-1650,5/16/2014,PDR,13-119610,COUNTER,5/22/2014,Individual,
P2014-1651,5/16/2014,PDR,14-151556 & 14-151512,COUNTER,5/22/2014,Individual,
P2014-1652,5/16/2014,PDR,14-146328,EMAIL,5/22/2014,Individual,
P2014-1653,5/16/2014,PDR,INITIAL DATA ON SPD ENFORCEMENT PATTERNS,EMAIL,8/6/2014,Media,
P2014-1654,5/16/2014,PDR,14-119577,EMAIL,5/22/2014,Individual,
P2014-1655,5/16/2014,PDR,INCIDENT REPORTS,EMAIL,7/28/2014,Individual,
P2014-1656,5/19/2014,PDR,14-150331,EMAIL,7/22/2014,Individual,
P2014-1658,5/19/2014,PDR,14-138876,MAIL,5/27/2014,Attorney,
P2014-1659,5/19/2014,PDR,14-127276,MAIL,6/8/2014,Attorney,
P2014-1660,5/19/2014,PDR,13-273542,COUNTER,5/25/2014,Individual,
P2014-1661,5/19/2014,PDR,14-155252,COUNTER,6/1/2014,Individual,
P2014-1662,5/19/2014,PDR,13-304673,COUNTER,5/25/2014,Individual,
P2014-1663,5/19/2014,PDR,99-449468,FAX,5/25/2014,Attorney,
P2014-1664,5/19/2014,PDR,14-154273,COUNTER,5/27/2014,Individual,
P2014-1665,5/19/2014,PDR,14-154273,FAX,5/25/2014,Individual,
P2014-1666,5/19/2014,PDR,14-135653,EMAIL,5/25/2014,Individual,
P2014-1667,5/19/2014,PDR,12-369572,EMAIL,5/27/2014,Individual,
P2014-1668,5/19/2014,PDR,OFFICER BLACKMER PAY,EMAIL,6/14/2014,Media,
P2014-1669,5/19/2014,PDR,14-52792,EMAIL,5/25/2014,Attorney,
P2014-1670,5/19/2014,PDR,06-461622,EMAIL,5/27/2014,Individual,
P2014-1671,5/19/2014,PDR,13-13185,COUNTER,5/25/2014,Individual,
P2014-1672,5/19/2014,PDR,08-228217,MAIL,5/27/2014,Attorney,
P2014-1673,5/19/2014,PDR,14-142609,FAX,7/7/2014,Attorney,
P2014-1674,5/19/2014,PDR,14-128558,MAIL,7/7/2014,Attorney,
P2014-1676,5/19/2014,PDR,14-142715,EMAIL,5/27/2014,Attorney,
P2014-1679,5/19/2014,PDR,14-103071,FAX,5/27/2014,Attorney,
P2014-1684,5/19/2014,PDR,09-410688,FAX,7/6/2014,Attorney,
P2014-1685,5/19/2014,PDR,13-101551,COUNTER,5/27/2014,Individual,
P2014-1686,5/19/2014,PDR,12-374542,COUNTER,6/10/2014,Individual,
P2014-1687,5/19/2014,PDR,database,EMAIL,7/16/2014,Media,
P2014-1688,5/19/2014,PDR,-,EMAIL,7/6/2014,Attorney,
P2014-1729,5/19/2014,PDR,"12-10668, 12-444858, 14-74321, 14-142655",EMAIL,5/27/2014,Individual,
P2014-1732,5/19/2014,PDR,13-60870,FAX,5/27/2014,Attorney,
P2014-1741,5/19/2014,PDR,911 CALL,COUNTER,7/7/2014,Individual,
P2014-1675,5/20/2014,PDR,13-452308,EMAIL,9/23/2014,Individual,
P2014-1677,5/20/2014,PDR,SPD EXPENDITURES,EMAIL,6/2/2014,Media,
P2014-1678,5/20/2014,PDR,10-281331,EMAIL,7/14/2014,Individual,
P2014-1680,5/20/2014,PDR,ALL RECORDS,COUNTER,8/19/2014,Individual,
P2014-1681,5/20/2014,PDR,14-220,EMAIL,6/24/2014,Attorney,
P2014-1682,5/20/2014,PDR,14-115864,EMAIL,5/28/2014,Individual,
P2014-1683,5/20/2014,PDR,TESTING RESULTS,EMAIL,6/12/2014,Individual,
P2014-1704,5/20/2014,PDR,14-109234,FAX,5/27/2014,Attorney,
P2014-1705,5/20/2014,PDR,14-132968,FAX,5/28/2014,Attorney,
P2014-1706,5/20/2014,PDR,14-115845,FAX,5/27/2014,Attorney,
P2014-1707,5/20/2014,PDR,14-42040,COUNTER,9/15/2014,Individual,
P2014-1708,5/20/2014,PDR,13-443632,COUNTER,5/26/2014,Individual,
P2014-1709,5/20/2014,PDR,13-451157,EMAIL,8/5/2014,Individual,
P2014-1710,5/20/2014,PDR,INCIDENT REPORTS,EMAIL,7/15/2014,Individual,
P2014-1711,5/20/2014,PDR,13-379657,EMAIL,9/10/2014,Attorney,
P2014-1712,5/20/2014,PDR,14-112043,EMAIL,5/27/2014,Attorney,
P2014-1715,5/20/2014,PDR,14-152829,EMAIL,5/28/2014,Attorney,
P2014-1730,5/20/2014,PDR,ICV,EMAIL,5/28/2014,Individual,
P2014-1657,5/21/2014,PDR,CFS,EMAIL,7/6/2014,Individual,
P2014-1689,5/21/2014,PDR,12-423184,FAX,5/27/2014,Attorney,
P2014-1690,5/21/2014,PDR,13-162275,FAX,7/14/2014,Attorney,
P2014-1691,5/21/2014,PDR,14-154501,COUNTER,5/27/2014,Individual,
P2014-1692,5/21/2014,PDR,14-153426,COUNTER,5/27/2014,Individual,
P2014-1693,5/21/2014,PDR,14-24735,COUNTER,5/27/2014,Individual,
P2014-1694,5/21/2014,PDR,14-158403,COUNTER,5/29/2014,Individual,
P2014-1695,5/21/2014,PDR,13-443255,EMAIL,5/29/2014,Attorney,
P2014-1696,5/21/2014,PDR,14-95446,EMAIL,5/29/2014,Individual,
P2014-1697,5/21/2014,PDR,14-122018,MAIL,5/29/2014,Attorney,
P2014-1698,5/21/2014,PDR,13-201029,COUNTER,5/29/2014,Attorney,
P2014-1699,5/21/2014,PDR,14-147473,MAIL,5/28/2014,Attorney,
P2014-1701,5/21/2014,PDR,02-535316,EMAIL,5/29/2014,Attorney,
P2014-1731,5/21/2014,PDR,"13-235281, 13-254095, 13-254131",MAIL,5/28/2014,Attorney,
P2014-1733,5/21/2014,PDR,PARKING COMPLAINTS,EMAIL,6/2/2014,Individual,
P2014-1739,5/21/2014,PDR,HOW MONEY IS DISTRIBUTED,EMAIL,5/29/2014,Individual,
P2014-1702,5/22/2014,PDR,13-401072,COUNTER,5/30/2014,Individual,
P2014-1703,5/22/2014,PDR,11-375499,COUNTER,5/30/2014,Individual,
P2014-1713,5/22/2014,PDR,14-29293,EMAIL,5/30/2014,Individual,
P2014-1714,5/22/2014,PDR,14-71799,FAX,5/30/2014,Attorney,
P2014-1716,5/22/2014,PDR,13-451157,COUNTER,5/27/2014,Individual,
P2014-1717,5/22/2014,PDR,14-146293,MAIL,5/30/2014,Attorney,
P2014-1718,5/22/2014,PDR,14-008770,FAX,5/30/2014,Attorney,
P2014-1719,5/22/2014,PDR,11-397672,FAX,7/23/2014,Attorney,
P2014-1720,5/22/2014,PDR,14-155110,EMAIL,5/30/2014,Individual,
P2014-1722,5/22/2014,PDR,SPD TRAINING,EMAIL,6/18/2014,Media,
P2014-1724,5/22/2014,PDR,14-142656,FAX,7/2/2014,Individual,
P2014-1734,5/22/2014,PDR,SPD RECORDS,EMAIL,6/18/2014,Individual,
P2014-1735,5/22/2014,PDR,14-80305,EMAIL,7/11/2014,Attorney,
P2014-1736,5/22/2014,PDR,05-30856,MAIL,5/30/2014,Attorney,
P2014-1737,5/22/2014,PDR,INCIDENT REPORT,EMAIL,6/6/2014,Attorney,
P2014-1700,5/23/2014,PDR,CAD,EMAIL,5/29/2014,Attorney,
P2014-1721,5/23/2014,PDR,INCIDENT REPORT,EMAIL,7/22/2014,Individual,
P2014-1723,5/23/2014,PDR,14-156480,FAX,6/1/2014,Attorney,
P2014-1725,5/23/2014,PDR,13-178475,COUNTER,6/1/2014,Individual,
P2014-1726,5/23/2014,PDR,14-121140,MAIL,6/2/2014,Individual,
P2014-1727,5/23/2014,PDR,14-140194,EMAIL,6/2/2014,Attorney,
P2014-1728,5/23/2014,PDR,14-134333,MAIL,6/1/2014,Attorney,
P2014-1738,5/23/2014,PDR,12-320053,MAIL,6/2/2014,Attorney,
P2014-1740,5/23/2014,PDR,11-398421,EMAIL,6/8/2014,Attorney,
P2014-1742,5/23/2014,PDR,14-143745,EMAIL,6/2/2014,Attorney,
P2014-1744,5/23/2014,PDR,13-367132,EMAIL,6/1/2014,Attorney,
P2014-1745,5/23/2014,PDR,14-160933,EMAIL,6/1/2014,Attorney,
P2014-1748,5/23/2014,PDR,14-118423,EMAIL,6/2/2014,Attorney,
P2014-1751,5/23/2014,PDR,08-356103,EMAIL,6/24/2014,Attorney,
P2014-1752,5/23/2014,PDR,ALL REPORTS,EMAIL,7/20/2014,Individual,
P2014-1743,5/27/2014,PDR,911 CALLS,EMAIL,6/3/2014,Individual,
P2014-1746,5/27/2014,PDR,ALL 911 & REPORTS,EMAIL,7/6/2014,Individual,
P2014-1747,5/27/2014,PDR,ALL CONTACT/RECORDS,EMAIL,6/9/2014,Attorney,
P2014-1749,5/27/2014,PDR,OPA #08-SR-0065,EMAIL,6/2/2014,Individual,
P2014-1750,5/27/2014,PDR,14-62644,EMAIL,6/3/2014,Individual,
P2014-1753,5/27/2014,PDR,11-233468,COUNTER,6/1/2014,Individual,
P2014-1754,5/27/2014,PDR,14-92812,COUNTER,6/1/2014,Individual,
P2014-1755,5/27/2014,PDR,14-156854,COUNTER,6/1/2014,Individual,
P2014-1756,5/27/2014,PDR,13-305959,COUNTER,6/10/2014,Individual,
P2014-1757,5/27/2014,PDR,11-79578,MAIL,6/1/2014,Attorney,
P2014-1758,5/27/2014,PDR,4Z0266475,MAIL,6/10/2014,Attorney,
P2014-1759,5/27/2014,PDR,11-323619,EMAIL,6/1/2014,Attorney,
P2014-1760,5/27/2014,PDR,14-146010,EMAIL,6/1/2014,Individual,
P2014-1761,5/27/2014,PDR,11-352549,EMAIL,6/1/2014,Attorney,
P2014-1762,5/27/2014,PDR,14-157758,COUNTER,6/3/2014,Individual,
P2014-1764,5/27/2014,PDR,14-29702,EMAIL,6/10/2014,Attorney,
P2014-1765,5/27/2014,PDR,ALL DOCUMENTS,EMAIL,7/16/2014,Attorney,
P2014-1767,5/27/2014,PDR,14-160321,EMAIL,6/3/2014,Attorney,
P2014-1772,5/27/2014,PDR,INCIDENT REPORTS,EMAIL,6/3/2014,Attorney,
P2014-1773,5/27/2014,PDR,ALL DISCIPLINARY RECORDS,EMAIL,1/6/2015,Media,
P2014-1774,5/27/2014,PDR,INCIDENT REPORTS,EMAIL,6/1/2014,Attorney,
P2014-1775,5/27/2014,PDR,# OF BICYCLE VS VEHICLE ACCIDENTS,EMAIL,6/1/2014,Media,
P2014-1776,5/27/2014,PDR,INCIDENT REPORT,EMAIL,6/1/2014,Individual,
P2014-1777,5/27/2014,PDR,REPORT & STATEMENTS,EMAIL,6/1/2014,Attorney,
P2014-1778,5/27/2014,PDR,INCIDENT REPORTS,COUNTER,6/1/2014,Individual,
P2014-2321,5/27/2014,PDR,14-162327,EMAIL,6/4/2014,Attorney,
P2014-1763,5/28/2014,PDR,14-147733,FAX,7/10/2014,Individual,
P2014-1766,5/28/2014,PDR,14-143526,FAX,5/30/2014,Attorney,
P2014-1768,5/28/2014,PDR,12-280781,COUNTER,6/1/2014,Individual,
P2014-1769,5/28/2014,PDR,DATA,EMAIL,8/6/2014,Media,
P2014-1779,5/28/2014,PDR,14-164154,EMAIL,6/4/2014,Individual,
P2014-1780,5/28/2014,PDR,14-147733,EMAIL,6/2/2014,Media,
P2014-1781,5/28/2014,PDR,14-155606,EMAIL,5/30/2014,Individual,
P2014-1806,5/28/2014,PDR,INCIDENT REPORT,EMAIL,6/12/2014,Individual,
P2014-1770,5/29/2014,PDR,14-160604,COUNTER,6/12/2014,Individual,
P2014-1771,5/29/2014,PDR,14-146424,COUNTER,6/5/2014,Individual,
P2014-1782,5/29/2014,PDR,14-150221,COUNTER,5/30/2014,Individual,
P2014-1783,5/29/2014,PDR,07-378878,COUNTER,5/30/2014,Individual,
P2014-1784,5/29/2014,PDR,13-305733,COUNTER,6/5/2014,Individual,
P2014-1785,5/29/2014,PDR,14-164445,COUNTER,7/7/2014,Individual,
P2014-1786,5/29/2014,PDR,ALL RECORDS,MAIL,6/26/2014,Inmate,
P2014-1787,5/29/2014,PDR,DISCIPLINARY ACTION,EMAIL,10/22/2014,Media,
P2014-1788,5/29/2014,PDR,# OF PATROL OFFICERS ASSIGNED TO EACH PCT,EMAIL,6/26/2014,Media,
P2014-1789,5/29/2014,PDR,INCIDENT REPORTS & 911 CALLS,EMAIL,7/3/2014,Attorney,
P2014-1790,5/29/2014,PDR,CALLS FOR SERVICES,EMAIL,7/2/2014,Individual,
P2014-1793,5/29/2014,PDR,EMAILS/COMMUNICATIONS (11/1/13 - 5/28/14),EMAIL,10/8/2014,Attorney,
P2014-1794,5/29/2014,PDR,11-367019,EMAIL,9/4/2014,Attorney,
P2014-1795,5/29/2014,PDR,14-149103,EMAIL,6/5/2014,Attorney,
P2014-1796,5/29/2014,PDR,14-164885 & 14-164928,EMAIL,6/5/2014,Individual,
P2014-1797,5/29/2014,PDR,12-246178,EMAIL,6/5/2014,Attorney,
P2014-1791,5/30/2014,PDR,"REPORTS, 911 & CAD",EMAIL,7/17/2014,Attorney,
P2014-1792,5/30/2014,PDR,"REPORTS, 911 & CAD",EMAIL,7/17/2014,Attorney,
P2014-1798,5/30/2014,PDR,14-162168,EMAIL,6/6/2014,Media,
P2014-1799,5/30/2014,PDR,14-163454,EMAIL,6/6/2014,Media,
P2014-1800,5/30/2014,PDR,14-158279,EMAIL,8/19/2014,Individual,
P2014-1801,5/30/2014,PDR,09-69382,COUNTER,6/2/2014,Individual,
P2014-1802,5/30/2014,PDR,11-323619,COUNTER,6/6/2014,Individual,
P2014-1803,5/30/2014,PDR,-,EMAIL,6/6/2014,Individual,
P2014-1805,5/30/2014,PDR,"93-111579, 01-271829",EMAIL,6/6/2014,Attorney,
P2014-1807,5/30/2014,PDR,14-160542,EMAIL,6/6/2014,Individual,
P2014-1809,5/30/2014,PDR,ALL DOCUMENTS,MAIL,7/11/2014,Attorney,
P2014-1815,5/30/2014,PDR,RECORDS,MAIL,7/4/2014,Attorney,
P2014-1817,5/30/2014,PDR,"12-122426, 13-119581",EMAIL,6/6/2014,Attorney,
P2014-1819,5/30/2014,PDR,"INTERNAL MEMOS, EMAILS, DOCUMENTS",EMAIL,7/24/2014,Media,
P2014-1824,5/30/2014,PDR,DOCUMENTS,FAX,10/13/2014,Attorney,
P2014-1828,5/30/2014,PDR,SPD MANUAL,EMAIL,7/2/2014,Individual,
P2014-1804,6/2/2014,PDR,"92-534553, 94-274356, 98-326090",EMAIL,6/8/2014,Individual,
P2014-1808,6/2/2014,PDR,CFS,COUNTER,8/3/2014,Individual,
P2014-1810,6/2/2014,PDR,14-145444,COUNTER,6/8/2014,Individual,
P2014-1811,6/2/2014,PDR,03-569034,COUNTER,6/8/2014,Individual,
P2014-1812,6/2/2014,PDR,"02-29129, 03-75841",COUNTER,6/8/2014,Individual,
P2014-1813,6/2/2014,PDR,14-170656,COUNTER,6/8/2014,Individual,
P2014-1814,6/2/2014,PDR,14-170941,FAX,6/8/2014,Individual,
P2014-1816,6/2/2014,PDR,EMPLOYMENT RECORDS,EMAIL,7/22/2014,Individual,
P2014-1818,6/2/2014,PDR,ALL RECORDS,EMAIL,10/1/2014,Individual,
P2014-1820,6/2/2014,PDR,14-165622,EMAIL,6/8/2014,Individual,
P2014-1821,6/2/2014,PDR,ALL PUBLIC RECORDS,EMAIL,8/6/2014,Individual,
P2014-1822,6/2/2014,PDR,14-168180,EMAIL,8/5/2014,Attorney,
P2014-1829,6/2/2014,PDR,ALL DOCUMENTS,EMAIL,9/10/2014,Attorney,
P2014-1830,6/2/2014,PDR,EMPLOYMENT LIST,EMAIL,7/14/2014,Individual,
P2014-1831,6/2/2014,PDR,ALL POLICIES,EMAIL,8/4/2014,Attorney,
P2014-1832,6/2/2014,PDR,COPY OF DOCUMENTS,EMAIL,6/14/2014,Individual,
P2014-1833,6/2/2014,PDR,13-445845,EMAIL,6/8/2014,Individual,
P2014-1840,6/2/2014,PDR,DOCUMENTS,MAIL,8/6/2014,Attorney,
P2014-1841,6/2/2014,PDR,CIT #334373123,MAIL,7/2/2014,Individual,
P2014-1848,6/2/2014,PDR,08-202928,FAX,6/8/2014,Attorney,
P2014-1849,6/2/2014,PDR,ALL REPORTS & CITATIONS,EMAIL,6/9/2014,Individual,
P2014-1850,6/2/2014,PDR,"ALL PRODUCTS, RECORDS, EMAILS AND/OR COMMUNICATIONS",EMAIL,9/9/2014,Individual,
P2014-1823,6/3/2014,PDR,14-161304,EMAIL,6/11/2014,Attorney,
P2014-1834,6/3/2014,PDR,DOCUMENTS,EMAIL,8/22/2014,Individual,
P2014-1835,6/3/2014,PDR,DOCUMENTS,EMAIL,6/5/2014,Media,
P2014-1836,6/3/2014,PDR,ALL DOCUMENTS,EMAIL,8/3/2014,Attorney,
P2014-1837,6/3/2014,PDR,14-156137,EMAIL,6/8/2014,Attorney,
P2014-1838,6/3/2014,PDR,14-162449,COUNTER,6/9/2014,Individual,
P2014-1839,6/3/2014,PDR,11-287213,COUNTER,8/6/2014,Individual,
P2014-1842,6/3/2014,PDR,REPORTS & 911 CALLS,EMAIL,7/22/2014,Individual,
P2014-1851,6/3/2014,PDR,INCIDENT REPORTS,EMAIL,6/9/2014,Individual,
P2014-1852,6/3/2014,PDR,ALL REPORTS/FOLLOW-UPS,EMAIL,6/9/2014,Attorney,
P2014-1853,6/3/2014,PDR,11-353869,EMAIL,9/10/2014,Attorney,
P2014-1854,6/3/2014,PDR,13-50548,EMAIL,6/10/2014,Attorney,
P2014-1855,6/3/2014,PDR,14-174426,EMAIL,6/10/2014,Individual,
P2014-1856,6/3/2014,PDR,COMMUNICATIONS/CORRESPONDENCES,EMAIL,7/3/2014,Individual,
P2014-1863,6/3/2014,PDR,14-155121,MAIL,6/10/2014,Attorney,
P2014-1864,6/3/2014,PDR,CRIMINAL RECORDS,EMAIL,8/5/2014,Attorney,
P2014-1867,6/3/2014,PDR,13-71977,COUNTER,6/9/2014,Attorney,
P2014-1825,6/4/2014,PDR,14-346313,COUNTER,6/8/2014,Individual,
P2014-1826,6/4/2014,PDR,14-169173,COUNTER,6/9/2014,Individual,
P2014-1827,6/4/2014,PDR,14-170623,COUNTER,6/10/2014,Individual,
P2014-1843,6/4/2014,PDR,14-153804,EMAIL,6/10/2014,Individual,
P2014-1844,6/4/2014,PDR,14-174284,COUNTER,6/9/2014,Individual,
P2014-1845,6/4/2014,PDR,14-94772,EMAIL,9/19/2014,Attorney,
P2014-1846,6/4/2014,PDR,14-148075,FAX,6/10/2014,Attorney,
P2014-1857,6/4/2014,PDR,14-175695,EMAIL,6/9/2014,Individual,
P2014-1858,6/4/2014,PDR,13-430711,EMAIL,6/9/2014,Attorney,
P2014-1859,6/4/2014,PDR,NARRATIVES & NAMES,EMAIL,8/4/2014,Individual,
P2014-1860,6/4/2014,PDR,12-69091,EMAIL,6/10/2014,Attorney,
P2014-1861,6/4/2014,PDR,14-105687,EMAIL,6/9/2014,Individual,
P2014-1862,6/4/2014,PDR,13-456718,COUNTER,7/2/2014,Individual,
P2014-1866,6/4/2014,PDR,13-169260,EMAIL,7/2/2014,Individual,
P2014-1865,6/5/2014,PDR,CFS,EMAIL,7/10/2014,Individual,
P2014-1868,6/5/2014,PDR,06-60744,COUNTER,6/10/2014,Individual,
